,0,1,2,3,4,5,code
dido_ii_marlowe.txt,-0.58892416954,0.41450792551,0.47151440382,-0.458285659552,0.20083065331,0.0930964797735,2.0
alchemist_jonson.txt,0.481406480074,-0.429019272327,0.0789185836911,-0.62942814827,0.0497529841959,0.42344647646,3.0
faustus_marlowe.txt,-0.373759120703,0.560655832291,-0.337704628706,0.186454668641,0.0803736224771,0.62505954504,2.0
coriolanus_shakespeare.txt,-0.0375009700656,-0.667468070984,-0.0948432609439,0.393868803978,-0.623028278351,-0.0280722230673,1.0
pericles_i.txt,0.00469980156049,-0.226766601205,0.484437912703,0.70715290308,-0.19463314116,0.419437080622,0.0
spanish_dekker.txt,-0.746500968933,0.278322815895,0.43971401453,0.149072945118,0.362983644009,0.133956491947,4.0
pericles_ii.txt,0.530092835426,-0.19048692286,0.253852248192,0.342423349619,-0.438985824585,0.555259466171,0.0
fivegallants_middleton.txt,0.158874794841,0.0680922716856,0.367639452219,-0.368732392788,0.632006943226,-0.54732722044,5.0
jewofmalta_iii_marlowe.txt,-0.0342989191413,-0.226888224483,-0.433372765779,-0.348888099194,-0.158985689282,0.782645523548,2.0
comedyoferrors_shakespeare.txt,0.568411409855,-0.482242614031,-0.258974134922,-0.319390624762,-0.338732749224,0.400665342808,1.0
antony_shakespeare.txt,-0.0276103131473,-0.45188292861,0.0398011282086,0.248497277498,-0.823869764805,0.230093732476,1.0
hen_iv_i_shakespeare.txt,-0.0390133857727,-0.174673870206,-0.697909235954,0.678020298481,0.0835334062576,0.119164973497,1.0
cymbeline_shakespeare.txt,0.134821534157,-0.708717525005,0.0461728796363,0.384896337986,-0.570189535618,-0.0644160807133,1.0
likeit_shakespeare.txt,0.315196990967,-0.122799560428,-0.765518903732,0.316329419613,-0.330221951008,-0.300734162331,1.0
hen_iv_ii_shakespeare.txt,0.0735168755054,-0.310309529305,-0.785405397415,0.507698118687,0.140290394425,-0.063267275691,1.0
pericles_iii.txt,0.275699853897,-0.156280875206,0.375161617994,0.123930290341,-0.745949625969,0.432458221912,0.0
dido_iv_marlowe.txt,-0.470628678799,0.460759341717,0.496999710798,-0.489339768887,0.267461031675,-0.0906197056174,2.0
pericles_v.txt,0.359220713377,-0.476368486881,0.537363767624,0.362767666578,-0.31320887804,0.354363530874,0.0
jewofmalta_i_marlowe.txt,0.221158921719,-0.332731217146,0.151729434729,0.116630382836,-0.196011930704,0.874833405018,2.0
puritan.txt,-0.00966218672693,0.182511031628,0.0811144188046,-0.318373382092,0.441345721483,-0.814781665802,0.0
dido_i_marlowe.txt,-0.387828677893,0.239259034395,0.239087060094,-0.261202841997,0.0945593193173,0.811179935932,2.0
fortunatus_dekker.txt,-0.635040104389,0.690850734711,-0.089671716094,0.121464818716,0.302422761917,-0.0720772370696,4.0
cromwell.txt,0.776726782322,0.232132181525,-0.289437770844,0.0785746052861,-0.357267826796,0.353866696358,0.0
hengist_middleton.txt,0.358140528202,-0.132514744997,0.403222560883,-0.13676430285,0.798911511898,-0.186071678996,5.0
dido_iii_marlowe.txt,-0.548407912254,0.441481083632,0.459807604551,-0.508216202259,0.158257186413,-0.0979339256883,2.0
hamlet_shakespeare.txt,0.0119347590953,-0.529102265835,-0.411030262709,0.219601899385,-0.708240747452,0.0336527004838,1.0
merlin.txt,0.338120669127,0.619881987572,0.638307273388,0.0858431532979,0.293309032917,0.0241926070303,0.0
dido_v_marlowe.txt,-0.418330848217,0.456713318825,0.527223348618,-0.54663091898,0.197180479765,-0.0276108980179,2.0
chastemaid_middleton.txt,0.480578690767,-0.126564055681,0.269476056099,-0.271227627993,0.777802944183,0.0432034209371,5.0
jewofmalta_ii_marlowe.txt,0.395775943995,-0.197733908892,-0.161381527781,-0.642768919468,-0.333564072847,0.503787457943,2.0
vortigern.txt,-0.304178476334,0.442223459482,0.627482771873,0.204704761505,-0.204374983907,0.484258323908,0.0
pericles_iv.txt,0.627871513367,-0.0881928801537,-0.460827589035,0.455717146397,-0.386618077755,-0.168777123094,0.0
endswell_shakespeare.txt,0.143894150853,-0.387250930071,-0.493099570274,0.16642510891,-0.624342799187,-0.410710126162,1.0
