,0,1,2,3,4,code
dido_ii_marlowe.txt,0.422756046057,-0.126088202,0.631113052368,0.478724718094,-0.421779513359,2.0
alchemist_jonson.txt,-0.733325719833,-0.298478454351,0.562678933144,0.147359922528,-0.186605334282,3.0
faustus_marlowe.txt,0.70302760601,-0.184413731098,0.5195094347,-0.373467326164,0.249751612544,2.0
coriolanus_shakespeare.txt,-0.161986678839,-0.159148111939,-0.561840116978,-0.566828012466,0.558098435402,1.0
pericles_i.txt,0.198789104819,-0.393417596817,0.0676789283752,-0.0664235502481,0.892587840557,0.0
spanish_dekker.txt,0.786723434925,-0.115086823702,0.57684648037,0.0957521423697,-0.160937443376,4.0
pericles_ii.txt,-0.341378927231,-0.715453028679,0.0496260002255,-0.554370760918,0.248591482639,0.0
fivegallants_middleton.txt,-0.108830541372,0.562315106392,0.538354694843,0.495243549347,-0.369953691959,5.0
jewofmalta_iii_marlowe.txt,0.190386101604,-0.939115941525,0.133261606097,0.113181374967,0.226375162601,2.0
comedyoferrors_shakespeare.txt,-0.66748470068,-0.639573872089,-0.200753211975,-0.0270514953882,-0.323072403669,1.0
antony_shakespeare.txt,-0.153986379504,-0.559463739395,-0.378212481737,-0.162330031395,0.702775120735,1.0
hen_iv_i_shakespeare.txt,-0.101575151086,0.00535292737186,-0.427454710007,-0.897945642471,0.0250976067036,1.0
cymbeline_shakespeare.txt,-0.345393061638,-0.341645121574,-0.522226274014,-0.279129683971,0.642921924591,1.0
likeit_shakespeare.txt,-0.42742100358,0.289853930473,-0.65408706665,-0.545102059841,-0.0912682488561,1.0
hen_iv_ii_shakespeare.txt,-0.155967116356,0.204219475389,-0.60893291235,-0.749961793423,-0.0269592870027,1.0
pericles_iii.txt,-0.320519298315,-0.580982923508,0.245705619454,-0.156344801188,0.689138114452,0.0
dido_iv_marlowe.txt,0.484833478928,-0.0140832141042,0.381489574909,0.561706483364,-0.551080465317,2.0
pericles_v.txt,-0.365723669529,-0.561782717705,-0.299569934607,-0.0298914983869,0.678240835667,0.0
jewofmalta_i_marlowe.txt,-0.0486704148352,-0.893811106682,0.346304267645,-0.0318849757314,0.278908103704,2.0
puritan.txt,0.0157882235944,0.823958396912,0.0878555774689,0.354906231165,-0.432626992464,0.0
dido_i_marlowe.txt,0.316454261541,-0.787026941776,0.44966557622,0.158088818192,-0.230768367648,2.0
fortunatus_dekker.txt,0.909760653973,0.26092672348,0.255089730024,-0.111125186086,0.163808509707,4.0
cromwell.txt,-0.730244457722,-0.437524110079,-0.134997442365,0.422605961561,0.280170679092,0.0
hengist_middleton.txt,-0.21088051796,0.415487527847,0.600666046143,0.636444032192,-0.130532622337,5.0
dido_iii_marlowe.txt,0.456539332867,-0.0243988465518,0.402205407619,0.572196662426,-0.549361765385,2.0
hamlet_shakespeare.txt,-0.253934860229,-0.381692022085,-0.722928106785,-0.433699905872,0.281260728836,1.0
merlin.txt,0.540380418301,0.055889852345,0.391300737858,0.720597326756,0.180245906115,0.0
dido_v_marlowe.txt,0.414983540773,0.0505133680999,0.355737954378,0.540341615677,-0.63774484396,2.0
chastemaid_middleton.txt,-0.50156801939,0.162506118417,0.767710566521,0.32143035531,-0.171243771911,5.0
jewofmalta_ii_marlowe.txt,-0.317653506994,-0.886415481567,0.299545973539,0.150831669569,-0.0297631826252,2.0
vortigern.txt,0.64751636982,-0.441883891821,-0.0802900418639,0.530375480652,0.312596380711,0.0
pericles_iv.txt,-0.62805968523,0.126823306084,-0.623468339443,-0.44274097681,-0.0687352716923,0.0
endswell_shakespeare.txt,-0.477411210537,0.0788532346487,-0.811864316463,-0.306235104799,0.113828755915,1.0
